Q1: Years spent professionally working on digital games,Q2: Current number of projects,Q3: Number of job roles,Q3: Board member,Q3: Producer / Manager,Q3: Developer,Q3: Game Designer,Q3: Artist,Q3: Other,Q3: Lead position,Q5: Structure of people working on the game,Q6: Number of people working in same team/department,Q7: Collaboration with others,Q8: Percentage on-site,Q9: Meetings - progress of individuals,Q9: Meetings - progress as a whole,Q9: Meetings - work out upcoming tasks,Q9: Meetings - planning and scheduling tasks,Q9: Meetings - progress of work in recent times,Q10: Documentation for meetings and their results,Q11: Development progress layerwise,Q11: Development progress featurewise,Q12: Characterize the development process
"[1,4.75)",1,1,n,n,y,n,n,n,n,Several departments,"[4,6)","On-site, Remotely",100,Regularly,Regularly,Regularly,Regularly,Spontaneous/When needed,All,Work on multiple layers simultaneously,Parallel development of multiple features.,"Hybrid, Ad-Hoc"
"[10,15)",3,1,y,n,n,n,n,n,n,One joint team,"[4,10]",On-site,,Regularly,Regularly,Regularly,Regularly,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Iterative
"[4.75,10)",2,1,n,y,n,n,n,n,n,Several departments,"[6,10]","On-site, Remotely",90,Regularly,Regularly,Spontaneous/When needed,Regularly,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Iterative
"[4.75,10)",3,1,n,n,y,n,n,n,n,Several departments,"[4,6)",Remotely,,Regularly,Regularly,Spontaneous/When needed,Regularly,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Iterative
"[1,4.75)",2,1,y,n,n,n,n,n,n,One joint team,"[2,4)","On-site, Remotely",90,Regularly,Spontaneous/When needed,Don't know,Don't know,Don't know,Partially,,Parallel development of multiple features.,"Hybrid, Ad-Hoc"
"[1,4.75)","[4,10]",1,y,n,n,n,n,n,n,Multiple feature teams,"[12,35]","On-site, Remotely",100,Regularly,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,Work on one layer of the game at a time.,,Ad-Hoc
"[1,4.75)",1,2,y,y,n,n,n,n,n,One joint team,"[2,4)","On-site, Remotely",80,Regularly,Spontaneous/When needed,Don't know,Regularly,Spontaneous/When needed,All,Work on one layer of the game at a time.,,Hybrid
"[10,15)",3,1,n,n,y,n,n,n,y,"One joint team, Externals","[4,10]",Remotely,,Spontaneous/When needed,Regularly,Spontaneous/When needed,Regularly,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Iterative
"[1,4.75)",1,x,x,x,x,x,x,x,x,"One joint team, Externals","[2,4)","On-site, Remotely",5,Regularly,Spontaneous/When needed,Spontaneous/When needed,Regularly,Prefer not to answer,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,"Iterative, Ad-Hoc"
"[1,4.75)",2,1,n,n,y,n,n,n,y,One joint team,"[2,4]",Remotely,,Spontaneous/When needed,Regularly,Regularly,Regularly,Spontaneous/When needed,All,Work on one layer of the game at a time.,One feature at a time.,Iterative
"[15,35]",3,x,x,x,x,x,x,x,x,One joint team,"[11,20]","On-site, Remotely",70,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,"Iterative, Ad-Hoc"
"[15,35]",1,x,x,x,x,x,x,x,x,One joint team,"[4,10]",Remotely,,Spontaneous/When needed,Regularly,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,,Parallel development of multiple features.,Don't know
"[15,35]",2,2,y,n,n,y,n,n,y,Several departments,"[6,10]",Remotely,,Don't know,Spontaneous/When needed,Regularly,Don't know,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Ad-Hoc
"[1,4.75)",2,2,y,n,n,n,n,y,n,One joint team,"[4,10]","On-site, Remotely",Don't know,Regularly,Regularly,Regularly,Spontaneous/When needed,Regularly,Partially,,Parallel development of multiple features.,Hybrid
"[15,35]",1,1,n,n,y,n,n,n,y,One joint team,x,Remotely,,Spontaneous/When needed,Spontaneous/When needed,Regularly,Spontaneous/When needed,Spontaneous/When needed,x,Work on multiple layers simultaneously,Parallel development of multiple features.,Iterative
"[10,15)",2,2,y,y,n,n,n,n,n,One joint team,"[4,10]",Remotely,,Regularly,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,,Parallel development of multiple features.,"Iterative, Hybrid"
"[15,35]",3,1,n,n,n,n,n,y,y,Several departments,"[30,50]","On-site, Remotely",20,Regularly,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Don't know,All,,Parallel development of multiple features.,Iterative
"[1,4.75)",2,1,n,n,y,n,n,n,n,One joint team,"[4,10]","On-site, Remotely",1,Regularly,Regularly,Regularly,Regularly,Regularly,Partially,Work on one layer of the game at a time.,Bespoke: Parallel development departmentwise,Iterative
"[10,15)",2,2,y,y,n,n,n,n,n,"Multiple feature teams, Several departments","[12,35]","On-site, Remotely",35,Regularly,Regularly,Regularly,Regularly,Regularly,All,Work on multiple layers simultaneously,Parallel development of multiple features.,"Iterative, Hybrid"
"[1,4.75)",1,1,y,n,n,n,n,n,n,One joint team,"[4,10]",Remotely,,Regularly,Regularly,Regularly,Regularly,Regularly,Partially,,One feature at a time.,Hybrid
"[4.75,10)","[4,10]",x,x,x,x,x,x,x,x,"Multiple feature teams, Several departments","[12,35]","On-site, Remotely",8,Regularly,Regularly,Regularly,Regularly,Regularly,All,Work on multiple layers simultaneously,One feature at a time.,Hybrid
"[15,35]",2,2,n,n,y,n,y,n,n,One joint team,"[4,10]",Remotely,,Regularly,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,,Parallel development of multiple features.,"Hybrid, Ad-Hoc"
"[10,15)",3,1,y,n,n,n,n,n,n,"One joint team, Externals","[2,4)","On-site, Remotely",2,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,None,Work on multiple layers simultaneously,Parallel development of multiple features.,Ad-Hoc
"[4.75,10)",2,1,y,n,n,n,n,n,n,One joint team,"[2,4)",Remotely,,Regularly,Regularly,Regularly,Regularly,Regularly,All,Work on multiple layers simultaneously,,Iterative
"[4.75,10)",3,2,n,n,n,y,n,y,n,One joint team,"[4,10]",Remotely,,Regularly,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,Hybrid
"[4.75,10)",3,2,y,y,n,n,n,n,n,Several departments,"[6,10]",Remotely,,Regularly,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Spontaneous/When needed,Partially,Work on multiple layers simultaneously,Parallel development of multiple features.,"Iterative, Ad-Hoc"
"[10,15)","[4,10]",1,n,y,n,n,n,n,n,Several departments,x,Remotely,,Regularly,Regularly,Spontaneous/When needed,Regularly,Regularly,All,Work on multiple layers simultaneously,,Iterative
"[1,4.75)",2,x,x,x,x,x,x,x,x,Several departments,"[4,6)","On-site, Remotely",30,Regularly,Regularly,Regularly,Regularly,Spontaneous/When needed,Partially,Work on one layer of the game at a time.,,Iterative
